partid,line,speaker,text,no_chars,no_words
2,1,interviewer,"All right. So I guess just to kind of explain a little bit about the study, just to give you a little background, I know you read the information sheet, as well. I'm just basically looking to talk to people, coaches and people who have coached in the past as well, about the way that they kind of understand some techniques in parkour. And in particular, I've picked the Kong Vault for this one, just because it's quite a kind of iconic parkour movement. Trying to think about how people understand these movements when there isn't like a central governing body or rulebook, judging guidelines, things like that, that you might get in other sports. So I mean, like, I guess the first thing to check is, do you know what I mean by the term Kong vault is that the term you're familiar with?",620,145
2,2,participant,"That was the term I would use for a two handed, legs go through your shoulders [laughs] I'm trying to describe I mean, my legs, my shoulders, but but my weight goes on to both hands. And then my legs follow through the middle, rather than like the side or that's what I would, that's the name that I would call it. I know that some people call it a catpass as well. But generally, the Cat, Cat things tend to be a bit muddy, confused.",331,86
2,3,interviewer,How so?,5,2
2,4,participant,"Well, just like what's a cat pass? And then there's a cat leap? And then there's a... Yeah, I think my memory was that the French would come over and translate things directly from the French and then we'd all be confused about what was a cat?",185,47
2,5,interviewer,"Because it was saut de chat, in French?",30,8
2,6,participant,[overlap] Mm.,9,2
2,7,interviewer,"Yeah. So I guess cat, it became catpass from that, but we generally would know it, as Kong vault.",74,19
2,8,participant,"Yeah, because a cat leap would be leaping to a cat position, of which I've rarely seen a cat being... Yeah.",80,21
2,9,interviewer,[overlap] Okay.,11,2
2,10,participant,I would call that a kong.,19,6
2,11,interviewer,"So I mean, you started, you started doing so already. But how would you just kind of describe that movement? In that case? The kong vault? What do you think is kind of like the, the meaningful identifying features of it?",172,41
2,12,participant,"I think it's the even distribution of weight on both hands, shoulders coming over the hands and the hips up high. And then pulling through with those hands so that your legs follow, follow afterwards? I think I would say that's the most defining feature because taking off and landing can vary. In that you could take off two feet together, you could take off staggered, you could like you could land in any, any way really. The movement, to me is about that... The weight coming on to the hands, the hips being quite high. And then I'm thinking, what, the reason I'm stuttering a bit is I'm thinking does this sound like a dash? And it, er, cuz you know what, by saying Oh, your hands, your weights on your hands, you could, that could sound the same, but your, your shoulders and your weight is moving first rather than your, and your legs follow? As I guess a dash is your legs going first.",692,167
2,13,interviewer,"Yeah, I mean, I'm aware, you know, I'm obviously asking you to describe something very visual. So is it, is it kind of the hands go on to the obstacle first?",118,31
2,14,participant,"Yeah. [laughs] The hands go onto the obstacle first. And the, I would say that your hands are the thing that is the most in front of you at the beginning of the movement, and then they take your weight, er, and then your hips and legs follow. So you're leading with your hands.",213,54
2,15,interviewer,"And what kind of, what kind of thing would you be doing that on? Does that affect the movement?",74,19
