partid,line,speaker,word
2,1,interviewer,all
2,1,interviewer,right
2,1,interviewer,so
2,1,interviewer,i
2,1,interviewer,guess
2,1,interviewer,just
2,1,interviewer,to
2,1,interviewer,kind
2,1,interviewer,of
2,1,interviewer,explain
2,1,interviewer,a
2,1,interviewer,little
2,1,interviewer,bit
2,1,interviewer,about
2,1,interviewer,the
2,1,interviewer,study
2,1,interviewer,just
2,1,interviewer,to
2,1,interviewer,give
2,1,interviewer,you
2,1,interviewer,a
2,1,interviewer,little
2,1,interviewer,background
2,1,interviewer,i
2,1,interviewer,know
2,1,interviewer,you
2,1,interviewer,read
2,1,interviewer,the
2,1,interviewer,information
2,1,interviewer,sheet
2,1,interviewer,as
2,1,interviewer,well
2,1,interviewer,i'm
2,1,interviewer,just
2,1,interviewer,basically
2,1,interviewer,looking
2,1,interviewer,to
2,1,interviewer,talk
2,1,interviewer,to
2,1,interviewer,people
2,1,interviewer,coaches
2,1,interviewer,and
2,1,interviewer,people
2,1,interviewer,who
2,1,interviewer,have
2,1,interviewer,coached
2,1,interviewer,in
2,1,interviewer,the
2,1,interviewer,past
2,1,interviewer,as
2,1,interviewer,well
2,1,interviewer,about
2,1,interviewer,the
2,1,interviewer,way
2,1,interviewer,that
2,1,interviewer,they
2,1,interviewer,kind
2,1,interviewer,of
2,1,interviewer,understand
2,1,interviewer,some
2,1,interviewer,techniques
2,1,interviewer,in
2,1,interviewer,parkour
2,1,interviewer,and
2,1,interviewer,in
2,1,interviewer,particular
2,1,interviewer,i've
2,1,interviewer,picked
2,1,interviewer,the
2,1,interviewer,kong
2,1,interviewer,vault
2,1,interviewer,for
2,1,interviewer,this
2,1,interviewer,one
2,1,interviewer,just
2,1,interviewer,because
2,1,interviewer,it's
2,1,interviewer,quite
2,1,interviewer,a
2,1,interviewer,kind
2,1,interviewer,of
2,1,interviewer,iconic
2,1,interviewer,parkour
2,1,interviewer,movement
2,1,interviewer,trying
2,1,interviewer,to
2,1,interviewer,think
2,1,interviewer,about
2,1,interviewer,how
2,1,interviewer,people
2,1,interviewer,understand
2,1,interviewer,these
2,1,interviewer,movements
2,1,interviewer,when
2,1,interviewer,there
2,1,interviewer,isn't
2,1,interviewer,like
2,1,interviewer,a
2,1,interviewer,central
2,1,interviewer,governing
2,1,interviewer,body
2,1,interviewer,or
2,1,interviewer,rulebook
2,1,interviewer,judging
2,1,interviewer,guidelines
2,1,interviewer,things
2,1,interviewer,like
2,1,interviewer,that
2,1,interviewer,that
2,1,interviewer,you
2,1,interviewer,might
2,1,interviewer,get
2,1,interviewer,in
2,1,interviewer,other
2,1,interviewer,sports
2,1,interviewer,so
2,1,interviewer,i
2,1,interviewer,mean
2,1,interviewer,like
2,1,interviewer,i
2,1,interviewer,guess
2,1,interviewer,the
2,1,interviewer,first
2,1,interviewer,thing
2,1,interviewer,to
2,1,interviewer,check
2,1,interviewer,is
2,1,interviewer,do
2,1,interviewer,you
2,1,interviewer,know
2,1,interviewer,what
2,1,interviewer,i
2,1,interviewer,mean
2,1,interviewer,by
2,1,interviewer,the
2,1,interviewer,term
2,1,interviewer,kong
2,1,interviewer,vault
2,1,interviewer,is
2,1,interviewer,that
2,1,interviewer,the
2,1,interviewer,term
2,1,interviewer,you're
2,1,interviewer,familiar
2,1,interviewer,with
2,2,participant,that
2,2,participant,was
2,2,participant,the
2,2,participant,term
2,2,participant,i
2,2,participant,would
2,2,participant,use
2,2,participant,for
2,2,participant,a
2,2,participant,two
2,2,participant,handed
2,2,participant,legs
2,2,participant,go
2,2,participant,through
2,2,participant,your
2,2,participant,shoulders
2,2,participant,laughs
2,2,participant,i'm
2,2,participant,trying
2,2,participant,to
2,2,participant,describe
2,2,participant,i
2,2,participant,mean
2,2,participant,my
2,2,participant,legs
2,2,participant,my
2,2,participant,shoulders
2,2,participant,but
2,2,participant,but
2,2,participant,my
2,2,participant,weight
2,2,participant,goes
2,2,participant,on
2,2,participant,to
2,2,participant,both
2,2,participant,hands
2,2,participant,and
2,2,participant,then
2,2,participant,my
2,2,participant,legs
2,2,participant,follow
2,2,participant,through
2,2,participant,the
2,2,participant,middle
2,2,participant,rather
2,2,participant,than
2,2,participant,like
2,2,participant,the
2,2,participant,side
2,2,participant,or
2,2,participant,that's
2,2,participant,what
2,2,participant,i
2,2,participant,would
2,2,participant,that's
2,2,participant,the
2,2,participant,name
2,2,participant,that
2,2,participant,i
2,2,participant,would
2,2,participant,call
2,2,participant,it
2,2,participant,i
2,2,participant,know
2,2,participant,that
2,2,participant,some
2,2,participant,people
2,2,participant,call
2,2,participant,it
2,2,participant,a
2,2,participant,catpass
2,2,participant,as
2,2,participant,well
2,2,participant,but
2,2,participant,generally
2,2,participant,the
2,2,participant,cat
2,2,participant,cat
2,2,participant,things
2,2,participant,tend
2,2,participant,to
2,2,participant,be
2,2,participant,a
2,2,participant,bit
2,2,participant,muddy
2,2,participant,confused
2,3,interviewer,how
2,3,interviewer,so
2,4,participant,well
2,4,participant,just
2,4,participant,like
2,4,participant,what's
2,4,participant,a
2,4,participant,cat
2,4,participant,pass
2,4,participant,and
2,4,participant,then
2,4,participant,there's
2,4,participant,a
2,4,participant,cat
2,4,participant,leap
2,4,participant,and
2,4,participant,then
2,4,participant,there's
2,4,participant,a
2,4,participant,yeah
2,4,participant,i
2,4,participant,think
2,4,participant,my
2,4,participant,memory
2,4,participant,was
2,4,participant,that
2,4,participant,the
2,4,participant,french
2,4,participant,would
2,4,participant,come
2,4,participant,over
2,4,participant,and
2,4,participant,translate
2,4,participant,things
2,4,participant,directly
2,4,participant,from
2,4,participant,the
2,4,participant,french
2,4,participant,and
2,4,participant,then
2,4,participant,we'd
2,4,participant,all
2,4,participant,be
2,4,participant,confused
2,4,participant,about
2,4,participant,what
2,4,participant,was
2,4,participant,a
2,4,participant,cat
2,5,interviewer,because
2,5,interviewer,it
2,5,interviewer,was
2,5,interviewer,saut
2,5,interviewer,de
2,5,interviewer,chat
2,5,interviewer,in
2,5,interviewer,french
2,6,participant,overlap
2,6,participant,mm
2,7,interviewer,yeah
2,7,interviewer,so
2,7,interviewer,i
2,7,interviewer,guess
2,7,interviewer,cat
2,7,interviewer,it
2,7,interviewer,became
2,7,interviewer,catpass
2,7,interviewer,from
2,7,interviewer,that
2,7,interviewer,but
2,7,interviewer,we
2,7,interviewer,generally
2,7,interviewer,would
2,7,interviewer,know
2,7,interviewer,it
2,7,interviewer,as
2,7,interviewer,kong
2,7,interviewer,vault
2,8,participant,yeah
2,8,participant,because
2,8,participant,a
2,8,participant,cat
2,8,participant,leap
2,8,participant,would
2,8,participant,be
2,8,participant,leaping
2,8,participant,to
2,8,participant,a
2,8,participant,cat
2,8,participant,position
2,8,participant,of
2,8,participant,which
2,8,participant,i've
2,8,participant,rarely
2,8,participant,seen
2,8,participant,a
2,8,participant,cat
2,8,participant,being
2,8,participant,yeah
2,9,interviewer,overlap
2,9,interviewer,okay
2,10,participant,i
2,10,participant,would
2,10,participant,call
2,10,participant,that
2,10,participant,a
2,10,participant,kong
2,11,interviewer,so
2,11,interviewer,i
2,11,interviewer,mean
2,11,interviewer,you
2,11,interviewer,started
2,11,interviewer,you
2,11,interviewer,started
2,11,interviewer,doing
2,11,interviewer,so
2,11,interviewer,already
2,11,interviewer,but
2,11,interviewer,how
2,11,interviewer,would
2,11,interviewer,you
2,11,interviewer,just
2,11,interviewer,kind
2,11,interviewer,of
2,11,interviewer,describe
2,11,interviewer,that
2,11,interviewer,movement
2,11,interviewer,in
2,11,interviewer,that
2,11,interviewer,case
2,11,interviewer,the
2,11,interviewer,kong
2,11,interviewer,vault
2,11,interviewer,what
2,11,interviewer,do
2,11,interviewer,you
2,11,interviewer,think
2,11,interviewer,is
2,11,interviewer,kind
2,11,interviewer,of
2,11,interviewer,like
2,11,interviewer,the
2,11,interviewer,the
2,11,interviewer,meaningful
2,11,interviewer,identifying
2,11,interviewer,features
2,11,interviewer,of
2,11,interviewer,it
2,12,participant,i
2,12,participant,think
2,12,participant,it's
2,12,participant,the
2,12,participant,even
2,12,participant,distribution
2,12,participant,of
2,12,participant,weight
2,12,participant,on
2,12,participant,both
2,12,participant,hands
2,12,participant,shoulders
2,12,participant,coming
2,12,participant,over
2,12,participant,the
2,12,participant,hands
2,12,participant,and
2,12,participant,the
2,12,participant,hips
2,12,participant,up
2,12,participant,high
2,12,participant,and
2,12,participant,then
2,12,participant,pulling
2,12,participant,through
2,12,participant,with
2,12,participant,those
2,12,participant,hands
2,12,participant,so
2,12,participant,that
2,12,participant,your
2,12,participant,legs
2,12,participant,follow
2,12,participant,follow
2,12,participant,afterwards
2,12,participant,i
2,12,participant,think
2,12,participant,i
2,12,participant,would
2,12,participant,say
2,12,participant,that's
2,12,participant,the
2,12,participant,most
2,12,participant,defining
2,12,participant,feature
2,12,participant,because
2,12,participant,taking
2,12,participant,off
2,12,participant,and
2,12,participant,landing
2,12,participant,can
2,12,participant,vary
2,12,participant,in
2,12,participant,that
2,12,participant,you
2,12,participant,could
2,12,participant,take
2,12,participant,off
2,12,participant,two
2,12,participant,feet
2,12,participant,together
2,12,participant,you
2,12,participant,could
2,12,participant,take
2,12,participant,off
2,12,participant,staggered
2,12,participant,you
2,12,participant,could
2,12,participant,like
2,12,participant,you
2,12,participant,could
2,12,participant,land
2,12,participant,in
2,12,participant,any
2,12,participant,any
2,12,participant,way
2,12,participant,really
2,12,participant,the
2,12,participant,movement
2,12,participant,to
2,12,participant,me
2,12,participant,is
2,12,participant,about
2,12,participant,that
2,12,participant,the
2,12,participant,weight
2,12,participant,coming
2,12,participant,on
2,12,participant,to
2,12,participant,the
2,12,participant,hands
2,12,participant,the
2,12,participant,hips
2,12,participant,being
2,12,participant,quite
2,12,participant,high
2,12,participant,and
2,12,participant,then
2,12,participant,i'm
2,12,participant,thinking
2,12,participant,what
2,12,participant,the
2,12,participant,reason
2,12,participant,i'm
2,12,participant,stuttering
2,12,participant,a
2,12,participant,bit
2,12,participant,is
2,12,participant,i'm
2,12,participant,thinking
2,12,participant,does
2,12,participant,this
2,12,participant,sound
2,12,participant,like
2,12,participant,a
2,12,participant,dash
2,12,participant,and
2,12,participant,it
2,12,participant,er
2,12,participant,cuz
2,12,participant,you
2,12,participant,know
2,12,participant,what
2,12,participant,by
2,12,participant,saying
2,12,participant,oh
2,12,participant,your
2,12,participant,hands
2,12,participant,your
2,12,participant,weights
2,12,participant,on
2,12,participant,your
2,12,participant,hands
2,12,participant,you
2,12,participant,could
2,12,participant,that
2,12,participant,could
2,12,participant,sound
2,12,participant,the
2,12,participant,same
2,12,participant,but
2,12,participant,your
2,12,participant,your
2,12,participant,shoulders
2,12,participant,and
2,12,participant,your
2,12,participant,weight
2,12,participant,is
2,12,participant,moving
2,12,participant,first
2,12,participant,rather
2,12,participant,than
2,12,participant,your
2,12,participant,and
2,12,participant,your
2,12,participant,legs
2,12,participant,follow
2,12,participant,as
2,12,participant,i
